origin,destination,volume
113520,113669,35513.75
113520,113686,24672.5
113520,114212,52161.25
113520,114273,13613.75
113520,115751,1270.0
113520,116640,403.75
113520,116720,18640.0
113520,116733,27893.75
113520,116744,843.75
113520,116769,13470.0
113520,116891,5353.75
113520,116901,1171.25
113520,116908,9426.25
113520,116910,6978.75
113520,116957,13970.0
113520,116962,4207.5
113520,117010,58097.5
113520,117020,1631.25
113520,117966,10150.0
113520,181006,5285.0
113520,181011,2175.0
113520,181027,6566.25
113520,181072,2248.75
113520,195865,1338.75
113520,195896,14662.5
113520,195944,51938.75
113520,195969,52252.5
113520,196009,11826.25
113520,196014,6821.25
113520,196022,16835.0
113520,196061,4960.0
113520,196109,4553.75
113520,196702,4740.0
113520,196704,66.25
113555,106832,26598.75
113555,108865,7828.75
113555,112601,3777.5
113555,113439,2127.5
113555,113445,6188.75
113555,113451,28443.75
113555,113468,29016.25
113555,113498,40131.25
113555,113520,64846.25
113555,113577,138511.25
113555,113638,61723.75
113555,113658,11531.25
113555,113669,55057.5
113555,113686,18988.75
113555,114212,38125.0
113555,114273,15672.5
113555,115751,3035.0
113555,116640,950.0
113555,116720,30496.25
113555,116733,136822.5
113555,116744,2988.75
113555,116769,34136.25
113555,116891,23198.75
113555,116901,4560.0
113555,116908,16502.5
113555,116910,15796.25
113555,116957,27205.0
113555,116962,15337.5
113555,117010,140000.0
113555,117020,1126.25
113555,117966,7887.5
113555,181006,32928.75
113555,181011,5663.75
113555,181027,63407.5
113555,181072,3422.5
113555,195865,2411.25
113555,195896,2980.0
113555,195944,85883.75
113555,195969,41621.25
113555,196009,60420.0
113555,196014,8590.0
113555,196022,60453.75
113555,196061,25175.0
113555,196109,19392.5
113555,196702,16348.75
113555,196704,192.5
113577,106832,42013.75
113577,108865,13195.0
113577,112601,5942.5
113577,113439,3381.25
113577,113445,2280.0
113577,113451,12163.75
113577,113468,50402.5
113577,113498,24657.5
113577,113520,13732.5
113577,113555,188107.5
113577,113638,16550.0
113577,113658,4547.5
113577,113669,43258.75
113577,113686,11556.25
113577,114212,26161.25
113577,114273,41973.75
113577,115751,22753.75
113577,116640,20676.25
113577,116720,11226.25
113577,116733,20201.25
113577,116744,7252.5
113577,116769,13636.25
113577,116891,76001.25
113577,116901,31878.75
113577,116908,78658.75
113577,116910,59910.0
113577,116957,22246.25
113577,116962,59073.75
113577,117010,103777.5
113577,117020,7990.0
113577,117966,6925.0
113577,181006,33068.75
113577,181011,101283.75
113577,181027,43407.5
113577,181072,6042.5
113577,195865,4303.75
113577,195896,5775.0
113577,195926,4890.0
113577,195944,142633.75
113577,195969,20200.0
113577,196009,89125.0
113577,196014,55566.25
113577,196022,57121.25
113577,196061,29666.25
113577,196109,52416.25
113577,196702,111998.75
113577,196704,2010.0
113638,106832,8402.5
113638,108865,45776.25
113638,112601,6517.5
113638,113439,15342.5
113638,113445,8330.0
113638,113451,13703.75
113638,113468,21356.25
113638,113498,5611.25
113638,113520,45983.75
113638,113555,51582.5
113638,113577,28917.5
113638,113658,16598.75
113638,113669,79376.25
113638,113686,15801.25
113638,114212,11847.5
113638,114273,2561.25
113638,115751,2903.75
113638,116640,1050.0
113638,116720,4243.75
113638,116733,15043.75
113638,116744,1337.5
113638,116769,3907.5
113638,116891,16012.5
113638,116901,3511.25
113638,116908,24723.75
113638,116910,2450.0
113638,116957,14467.5
113638,116962,18267.5
113638,117010,304352.5
113638,117020,8072.5
113638,117966,9795.0
113638,181006,28838.75
113638,181011,5528.75
113638,181027,4088.75
113638,181072,3181.25
113638,195896,21456.25
113638,195926,2617.5
113638,195944,94257.5
113638,195969,31401.25
113638,196009,16216.25
113638,196014,4253.75
113638,196022,24031.25
113638,196061,17101.25
113638,196109,18188.75
113638,196702,12420.0
113638,196704,218.75
113658,108865,2815.0
113658,113439,338.75
113658,113445,190.0
113658,113468,23447.5
113658,113498,772.5
113658,113520,2066.25
113658,113555,14005.0
113658,113577,60962.5
113658,113638,8225.0
113658,113669,124792.5
113658,113686,15297.5
113658,115751,91.25
113658,116640,32.5
113658,116720,153.75
113658,116733,1265.0
113658,116744,28.75
113658,116769,350.0
113658,116891,917.5
113658,116901,203.75
113658,116908,1245.0
113658,116910,588.75
113658,116957,10590.0
113658,116962,5180.0
113658,117010,111750.0
113658,117966,677.5
113658,181006,21812.5
113658,181011,198.75
113658,181027,2147.5
113658,195926,215866.25
113658,195969,18746.25
113658,196014,4727.5
113658,196022,1436.25
113658,196061,328.75
113658,196109,841.25
113658,196702,317.5
113658,196704,2.5
113669,108865,9333.75
113669,112531,171885.0
113669,112601,54965.0
113669,113439,4112.5
113669,113445,2451.25
113669,113468,77952.5
113669,113498,31350.0
113669,113520,40433.75
113669,113555,50871.25
113669,113577,45138.75
113669,113638,90871.25
113669,113658,139761.25
113669,113686,168942.5
113669,114212,57500.0
113669,114273,10412.5
113669,115751,833.75
113669,116640,301.25
113669,116720,6712.5
113669,116733,24030.0
113669,116744,390.0
113669,116769,17273.75
113669,116891,12451.25
113669,116901,1433.75
113669,116908,3133.75
113669,116910,6495.0
