origin,destination,volume
100324,100444,1.25
100324,100487,65.0
100324,106801,5393.75
100324,107065,2257.5
100324,107203,970.0
100324,196755,1.25
100324,260943,48.75
100324,260984,1037.5
100333,100273,28373.75
100333,100286,8195.0
100333,100289,17595.0
100333,100315,5133.75
100333,100324,97755.0
100333,100380,50961.25
100333,100397,21935.0
100333,100422,19498.75
100333,100430,18795.0
100333,100441,873.75
100333,100444,20820.0
100333,100487,14242.5
100333,106801,223076.25
100333,107065,22377.5
100333,107144,1518.75
100333,107200,1021.25
100333,107223,9452.5
100333,196755,2760.0
100333,260943,180.0
100333,260984,448.75
100380,100273,322.5
100380,100286,55577.5
100380,100289,67341.25
100380,100315,13118.75
100380,100324,44231.25
100380,100333,40971.25
100380,100397,455293.75
100380,100422,112871.25
100380,100430,1002.5
100380,100441,11437.5
100380,100444,157705.0
100380,100487,158655.0
100380,100513,1485491.25
100380,100520,9465.0
100380,106801,65477.5
100380,107065,273957.5
100380,107144,16577.5
100380,107200,1530.0
100380,107203,5477.5
100380,107223,15745.0
100380,196150,72620.0
100380,196755,18877.5
100380,260943,92128.75
100380,260984,13236.25
100397,100273,176.25
100397,100286,24118.75
100397,100289,4273.75
100397,100315,1258.75
100397,100324,112.5
100397,100333,4436.25
100397,100380,298483.75
100397,100422,220796.25
100397,100430,10143.75
100397,100441,1657.5
100397,100444,58553.75
100397,100487,188118.75
100397,100513,17123.75
100397,100520,683.75
100397,106801,19256.25
100397,107065,81870.0
100397,107144,60797.5
100397,107153,4491.25
100397,107200,268.75
100397,107203,3320.0
100397,107223,13090.0
100397,196150,1356.25
100397,196755,42583.75
100397,260943,17968.75
100397,260984,4047.5
100422,100273,210.0
100422,100286,1957.5
100422,100289,2738.75
100422,100315,152.5
100422,100324,8.75
100422,100333,4250.0
100422,100380,87767.5
100422,100397,170560.0
100422,100430,43175.0
100422,100441,16920.0
100422,100444,167532.5
100422,100487,113135.0
100422,100513,19350.0
100422,100520,1368.75
100422,106801,22231.25
100422,107065,72655.0
100422,107144,51528.75
100422,107153,68633.75
100422,107200,4300.0
100422,107223,179610.0
100422,123958,5326.25
100422,196150,91.25
100422,196755,43307.5
100422,260925,657.5
100422,260943,1395.0
100422,260984,303.75
100430,100273,1316.25
100430,100286,1867.5
100430,100289,3338.75
100430,100315,901.25
100430,100324,5601.25
100430,100333,34207.5
100430,100380,6287.5
100430,100397,36202.5
100430,100422,155336.25
100430,100444,17537.5
100430,100487,18723.75
100430,100513,46080.0
100430,100520,956.25
