origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106899,111359,44225.0,50685.0,60397.5,601460.0,689316.0,821406.0
106899,111366,16865.0,19578.75,23803.75,229364.0,266271.0,323731.0
106899,111428,2922.5,3363.75,4021.25,39746.0,45747.0,54689.0
106899,111465,3753.75,4362.5,5282.5,51051.0,59330.0,71842.0
106899,111529,31331.25,34975.0,40005.0,426105.0,475660.0,544068.0
106899,111551,4853.75,5726.25,7140.0,66011.0,77877.0,97104.0
106899,111588,22690.0,26107.5,31267.5,308584.0,355062.0,425238.0
106899,111603,41536.25,46650.0,53866.25,564893.0,634440.0,732581.0
106899,111699,91946.25,100110.0,111848.75,1250469.0,1361496.0,1521143.0
106899,181085,2376.25,2767.5,3362.5,32317.0,37638.0,45730.0
106899,195727,2368.75,2642.5,3015.0,32215.0,35938.0,41004.0
106932,106940,169220.0,188880.0,216023.75,2301392.0,2568768.0,2937923.0
106932,106977,12808.75,14291.25,16345.0,174199.0,194361.0,222292.0
106932,106987,56425.0,77523.75,116382.5,767380.0,1054323.0,1582802.0
106932,106997,100458.75,138470.0,209990.0,1366239.0,1883192.0,2855864.0
106932,110970,1306.25,1648.75,2207.5,17765.0,22423.0,30022.0
106932,111052,44883.75,59450.0,84136.25,610419.0,808520.0,1144253.0
106932,111069,1058.75,1408.75,1998.75,14399.0,19159.0,27183.0
106932,111077,3592.5,4781.25,6777.5,48858.0,65025.0,92174.0
106932,111084,1008.75,1342.5,1905.0,13719.0,18258.0,25908.0
106932,111164,136338.75,152191.25,174092.5,1854207.0,2069801.0,2367658.0
106932,111186,966.25,1285.0,1823.75,13141.0,17476.0,24803.0
106932,111208,9826.25,13605.0,21107.5,133637.0,185028.0,287062.0
106932,111217,29772.5,33217.5,37961.25,404906.0,451758.0,516273.0
106932,111241,357.5,476.25,676.25,4862.0,6477.0,9197.0
106932,111243,35.0,41.25,46.25,476.0,561.0,629.0
106932,111283,2568.75,3422.5,4856.25,34935.0,46546.0,66045.0
106932,111322,207132.5,235531.25,277663.75,2817002.0,3203225.0,3776227.0
106932,111359,5742.5,7647.5,10993.75,78098.0,104006.0,149515.0
106932,111366,16508.75,22093.75,31931.25,224519.0,300475.0,434265.0
106932,111428,268.75,357.5,506.25,3655.0,4862.0,6885.0
106932,111442,3668.75,4095.0,4685.0,49895.0,55692.0,63716.0
106932,111465,285.0,378.75,537.5,3876.0,5151.0,7310.0
106932,111471,155.0,172.5,198.75,2108.0,2346.0,2703.0
106932,111496,762.5,851.25,973.75,10370.0,11577.0,13243.0
106932,111529,39146.25,43636.25,49936.25,532389.0,593453.0,679133.0
106932,111551,10753.75,14773.75,22235.0,146251.0,200923.0,302396.0
106932,111555,213626.25,238508.75,272866.25,2905317.0,3243719.0,3710981.0
